!OP,K0EMT
!PARK,1782
!DATE,20190524
!MODE,SSB
!BAND,20M
1838,K8RAT,55,55,OH
1840,KD8EDN,59,58,KY
1842,VE2GT,57,52,QC
1843,KC1CBQ,55,43,MA
1844,K8HQ,58,59,MI
1846,N4EX,59,57,NC
1847,KJ4JPV,57,57,TN
1849,VE3NEP,55,59
1850,KE8KUF,57,57,OH
1851,KC2FNE,59,55,NY
1852,VE6EN/VE5,55,57,SK
1854,W8TAM,57,55,MI
1854,W8RP,57,55,MI
1855,N3ARS,52,53,MD
1856,K5LSZ,55,59,NM
1858,W3AVP,52,45,PA
!BAND,40M
1927,KI5WA,55,33,TX
2014,KM4EJL,55,55,TN
2016,KD9JTU,55,55,TN
2018,VE3LDT,57,55
2020,KD8BIT,53,45,OH
!BAND,20M
2028,N3HQB,55,55,MD
!BAND,40M
2106,W9AV,55,55,WI
2110,K7EFS,55,55,PA
2110,K8VOX/VE3,52,52,,P2P,VE-4885
2111,K5WZS,52,55,TX,P2P,3029
2112,K5CGR,59,57,OK
2114,N8WCP,57,53,OH
2117,W5DMD,33,33
2118,KG5WZD,57,57,TX
2120,KK4KHS,,,,P2P,4424
2125,KN4NTZ,59,59,TN
2125,KG5YBI,57,57,OK
2131,KC5GOI,52,53,TX
2132,VE3ZN,55,55
2133,KC9YDV,55,55,IL
2134,KA0ENU,51,52,TN
2135,W3BAS,51,54,PA
2137,AA9F,57,57,IL
!BAND,20M
2157,N1CLC,55,53,,W7A/AE-006 SOTA
!BAND,40M
!MODE,CW
2205,NK8Q,229,,,W3/PW-008 SOTA
